ecg_id,mean_rr_interval_I,sd_rr_interval_I,mean_r_peak_I,sd_r_peak_I,mean_pp_interval_I,sd_pp_interval_I,mean_p_peak_I,sd_p_peak_I,mean_tt_interval_I,sd_tt_interval_I,mean_t_peak_I,sd_t_peak_I,mean_qq_interval_I,sd_qq_interval_I,mean_q_peak_I,sd_q_peak_I,mean_ss_interval_I,sd_ss_interval_I,mean_s_peak_I,sd_s_peak_I,qrs_mean_I,qrs_std_I,RMSSD_I,R_HR_STD_I,R_HR_median_I,R_HR_min_I,R_HR_max_I,mean_heartrate_r_I
000021_20220104,1.6539294409124896,-0.6576309476050287,-1.1967709301760685,0.7181919246613657,1.9954687525583816,2.253033245098336,-0.9845424443002472,-0.2006119769895878,1.4211013010690456,-0.3946971499213659,-1.201134497352114,-0.6613480145813038,1.5518858764715826,-0.4715841444899774,1.7204222144435208,-0.5900795278119941,1.6056590516487377,-0.5832046314527662,-0.0068503927345856,-0.5833434043983141,-0.7498935362309606,-0.3580874204721949,-0.8994118227206329,-0.4625211147757115,-1.260337180309035,-1.11519445923607,-0.952990667548316,-1.2322276159255905
000022_20220104,-1.6397514746590054,-0.5622782944851004,-1.0456058490030704,-0.6195927920885326,-1.7198002250917157,-0.5361762552675681,0.2742337705567036,-0.3211802360356155,-1.4965100046621236,-0.364444883798564,0.7082288609615119,-0.6617681203257717,-1.6511876041235627,-0.4134569079506046,0.3680277095365686,-0.7064186940391046,-1.638005371924243,-0.5483815405513083,-1.3860779319068928,-0.2966654822876612,-0.6829444880599826,-0.3282715370573397,1.16527774655649,-0.2872191503755965,1.779855535770188,2.1759543091513964,0.6040314716134865,1.5294445145311304
000022_20221217,-0.8592865951677027,-0.5289029898034008,-1.0433383727854757,-0.7247279918032355,-0.9140955694166994,-0.5019715987585189,0.1043735044366569,-0.2042336510925234,-0.7987554820204978,-0.3568721211452469,0.6021127817227303,-0.6502670540431821,-0.8824028474349289,-0.4198019570558974,0.3966204646415437,-0.4375945844300496,-0.8578551785912681,-0.5278437464787558,-2.10313470914734,-0.4685720717578453,-0.7638563362123557,-0.4111210843656557,0.3509035883869992,-0.3254523157342162,0.6904490838024699,1.0332537151377943,0.092723880605661,0.5926730706520237
000034_20220104,1.8127279476308729,-0.3638866105199899,0.5555346907813217,0.238208700720241,1.840010628229019,1.526653122363801,0.3392284543277727,-0.249708327521969,1.4051173092553266,0.048459531853691,0.5001370804110866,2.377034698847265,1.693249913864531,-0.3277731718772425,-0.1974911019125665,-0.1104503378414897,1.7421700543996137,-0.4024010481729441,-0.1090547814695887,0.3133525646233479,-0.7434939835683476,-0.4433819397118941,-0.941966476787565,-0.3801722183617914,-1.3607417059095808,-1.2927010263087957,-0.9329881205862964,-1.309406082291073
000043_20220104,-0.9130943536425268,0.4387045599882523,-1.14492130733373,-0.7567321574382163,-0.900543802663205,-0.0725019688901984,-0.8478351556188634,1.2609696799380632,-0.8509504807431207,0.1215636487506437,-0.0832050829523077,1.3922040571986425,-0.8668528033217067,0.1301431835974481,0.6193539617758232,0.0929927862368489,-0.9548391148739775,0.599393833185151,1.131726287215278,-0.0586617241721211,0.995439054660205,0.954820096509235,0.4639411107048936,0.4237338130825849,0.5641990917066869,0.6403010113856746,0.9783241028619638,0.700288387088235
000056_20220105,-0.0206729935722753,-0.4864361981087484,-0.8744567440990024,0.5908294484523813,-0.043469843097809,-0.4650423580596277,-0.4660150394966891,-0.3683529166840217,-0.0657651374250703,-0.3125745139384127,1.7629371268967866,0.1864998869548625,-0.0402265946664594,-0.3780782240826382,-0.4147057611757117,0.1924477895867866,-0.0120982048317548,-0.4639808457446486,-2.512235212811788,0.9018191869395918,-0.3687648496416665,-0.3021264328180454,-0.2247521660038268,-0.3522589372536289,-0.101283513049827,0.0740995401511927,-0.3366065642207018,-0.1688792482090608
000059_20220105,-1.6919439908531575,-0.6508889227456295,-0.8306491035750677,-0.7321731846509961,-1.7725478710707,-0.5933834912445277,-0.0089591782588659,-0.3124381725249056,-1.5487243779202775,-0.4088264498795764,-0.1058858714712044,-0.672857937160171,-1.7148014209503888,-0.4559939585974765,0.9207247118487052,-0.4625663563185865,-1.6926776889463586,-0.6255013262835419,-0.5971784988418208,-0.3367014813676698,-0.6120568991983265,-0.2403828438373619,1.2312543363846755,-0.35396062006767,1.8239544476189564,2.29734436203946,0.6268861768248548,1.6007769603416275
000059_20221101,-1.5821916429697085,-0.6947549412848423,-0.7617875950591837,-0.4325094168231223,-1.657974632793886,-0.6356388572103475,-0.0932059981046174,-0.2612700940516229,-1.4517548275837049,-0.4388138739374559,-0.2521706765301837,-0.3100696988503095,-1.603102412616417,-0.5378553803444739,0.6527147132618866,-0.3465220377477871,-1.5822525743285671,-0.668064194691978,-0.597560428208729,-0.5290473152706935,-0.6730989042796061,-0.427297754454614,1.0888622165819002,-0.3942573276092859,1.640114726745891,2.2483814468522074,0.5044739839412901,1.4481522710581172
000061_20220105,-0.0827487734712799,0.8389713302535561,-1.0661368154823851,-0.7783303088356998,0.0083731934936119,-0.1417830330267959,0.6389320996534429,0.968001258376345,-0.1440511773304936,0.4648546493239416,-0.0520007807244871,1.422218314290368,2.288820236516225e-05,-0.2514161328845317,0.7321964062611839,1.5595181073495803,-0.2196945390316726,1.2889884365721724,-0.4500618112801658,1.3432790690123788,0.5658544912022457,2.0218835141849048,-0.1116660649244584,0.5128983384100158,-0.2641361677478464,-0.047032256082695,0.6852423219910768,-0.0537243529105984
000064_20220105,-0.4494289617119102,-0.2401358135296435,-1.2600678723472345,-0.6330750818625931,-0.4880280226868595,-0.2931274047665115,0.5292702154701787,-0.2730336434064726,-0.4368779073578583,-0.1812893543942136,-1.21476780956528,-0.28915913807701,-0.4664784351943532,-0.2122916106882929,1.3623730133478764,-0.402365743785935,-0.439968511961357,-0.2746222073581882,-0.5356507930722011,-0.1539287300803132,-0.4068775135149105,-0.1684924935999572,0.0464359077736593,-0.2090036431928641,0.3910600925055885,0.2573635939360822,-0.1146466314858901,0.2001414940928679
